barcode,path,nac_path,mat_path,amb_path,time,sex,tissue,viallabel,pid,calculated.variables.pct_body_fat_change,calculated.variables.pct_body_lean_change,calculated.variables.pct_body_fluid_change,calculated.variables.lactate_change_dueto_train,calculated.variables.vo2_max_change,calculated.variables.coll_time_train,calculated.variables.deathtime_after_train,calculated.variables.frozetime_after_train
SRR25251631,/tolva/rat_attack/rat/count_matrices_SRR25251631/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251631/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251631/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251631/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,male,testes,90225016302,19,-5.5,3.7,-0.7,6.8,12.22,179260,178945,179309
SRR25251632,/tolva/rat_attack/rat/count_matrices_SRR25251632/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251632/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251632/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251632/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,male,spleen,90430016202,49,,,,,,184157,184049,184213
SRR25251633,/tolva/rat_attack/rat/count_matrices_SRR25251633/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251633/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251633/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251633/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,male,spleen,90426016202,20,,,,,,179332,179250,179362
SRR25251634,/tolva/rat_attack/rat/count_matrices_SRR25251634/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251634/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251634/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251634/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,male,spleen,90423016202,21,,,,,,182607,182474,182666
SRR25251635,/tolva/rat_attack/rat/count_matrices_SRR25251635/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251635/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251635/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251635/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,male,spleen,90422016202,35,,,,,,181407,181293,181446
SRR25251636,/tolva/rat_attack/rat/count_matrices_SRR25251636/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251636/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251636/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251636/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,male,cortex,90449015302,43,,,,,,182198,181978,182209
SRR25251637,/tolva/rat_attack/rat/count_matrices_SRR25251637/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251637/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251637/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251637/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,female,spleen,90420016202,37,-0.4,2.2,0.2,8.3,1.12,183496,183403,183546
SRR25251638,/tolva/rat_attack/rat/count_matrices_SRR25251638/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251638/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251638/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251638/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,female,spleen,90416016202,38,-2.2,-0.1,-0.7,9.4,0.62,179039,178949,179095
SRR25251639,/tolva/rat_attack/rat/count_matrices_SRR25251639/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251639/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251639/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251639/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,female,spleen,90412016202,39,-0.4,0.3,0.2,9.4,7.51,180153,180047,180188
SRR25251640,/tolva/rat_attack/rat/count_matrices_SRR25251640/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251640/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251640/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251640/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,male,blood,90280013001,30,-2.1,2.6,-0.2,11.6,2.02,178707,179048,186056
