ID,rep_ID,phylum,class,order,family,genus,species,strandedness
u113848,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u114461,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u114495,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u115481,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u118208,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u119494,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u120926,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u121331,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u122210,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u124162,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u124809,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u125587,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u125806,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u127258,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u127928,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u128208,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u128593,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u128789,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u132730,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u133144,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u133232,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u134803,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u134867,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u135457,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u137012,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u138734,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u139701,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u139910,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u142414,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u143336,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u150106,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u150854,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u151730,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u155393,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u155504,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u157123,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u157704,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u158148,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u161679,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u162774,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u162834,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u163098,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u164956,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u166772,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u169146,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u170770,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u170847,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u170911,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
